"name";"table_name";"049_helptext__de_new";"049_helptext__en_new"
"shop_search_use_boolean_and";"shop";"Wird diese Option aktiviert, werden nur noch Suchergebnisse angezeigt, die alle eingegebenen Suchbegriffe enthalten. Die Klangwortsuche wird dabei deaktiviert.

Bitte beachten Sie: Der Such-Cache bleibt erhalten und wird durch diese Änderung nicht zurückgesetzt. Die Anpassung wirkt sich erst aus, wenn der vorhandene Such-Cache abgelaufen ist.";"If this option is enabled, only search results that contain all entered search terms will be displayed. Sound word search will be deactivated.

Please note: The search cache will remain and will not be reset by this change. The adjustment will only take effect once the existing search cache has expired."
"allow_rate_review";"pkg_shop_article_review_module_shop_article_review_configuration";"Wird diese Einstellung aktiviert, haben Nutzer die Möglichkeit, Rezensionen oder Bewertungen als hilfreich oder nicht hilfreich zu markieren.";"If this setting is enabled, users have the option to mark reviews or ratings as helpful or not helpful."
"password_change_key";"data_extranet_user";"Wird die Funktion „Passwort vergessen“ genutzt, erhält der Benutzer einen speziellen Schlüssel. Dieser ist nur für einen begrenzten Zeitraum gültig, der in der Extranet-Konfiguration festgelegt werden kann.

Mit diesem Schlüssel kann der Benutzer ein neues Passwort erstellen.";"If the ""Forgot Password"" function is used, the user receives a special key. This key is only valid for a limited period of time, which can be defined in the extranet configuration.

With this key, the user can create a new password."
"use_simple_reporting";"pkg_comment_module_config";"Wird die einfache Funktion zum Melden von Kommentaren verwendet, erhält der Seitenbetreiber direkt eine Benachrichtigung, sobald ein Benutzer auf „Kommentar melden“ klickt.

Beim normalen Melden wird der Benutzer stattdessen auf eine separate Seite weitergeleitet. Dort hat er die Möglichkeit, zusätzlich einen eigenen Kommentar für den Seitenbetreiber zu verfassen.";"If the simple report function for comments is used, the site operator receives a notification immediately when a user clicks ""Report comment.""

With the regular reporting option, the user is instead redirected to a separate page. There, they have the opportunity to write an additional message for the site operator."
"auto_assign_order_value_start";"data_extranet_group";"Wird der angegebene Bestellwert überschritten, erfolgt die automatische Zuweisung der Kundengruppe für den Benutzer.";"If the specified order value is exceeded, the customer group is automatically assigned to the user."
"auto_assign_order_value_end";"data_extranet_group";"Wird der angegebene Bestellwert erreicht, wird der Kunde automatisch aus der Gruppe entfernt. Die Gruppe gilt somit nur für Kunden, deren Bestellungen unter diesem Wert bleiben.

Wird 0 eingetragen, gibt es keinen Grenzwert und die Gruppe gilt für jeden Bestellwert.";"If the specified order value is reached, the customer is automatically removed from the group. The group therefore only applies to customers whose orders remain below this value.

If 0 is entered, there is no threshold and the group applies to any order value."
"seo_pattern";"shop_article";"Wird dazu genutzt, die Seitentitel suchmaschinenoptimiert zu gestalten. Um eine Übersicht aller verfügbaren Platzhalter zu erhalten, tragen Sie [{SHOW}] an dieser Stelle ein und laden Sie die Seite anschließend erneut.";"Used to optimize page titles for search engines. To view a list of all available placeholders, enter [{SHOW}] here and then reload the page."
"seo_name";"cms_document";"Wird beim Speichern automatisch vom System vergeben. Dieser Wert dient dazu, alte Symlink-Downloads eindeutig zu identifizieren.";"When saving, this value is automatically assigned by the system. It is used to uniquely identify old symlink downloads."
"name";"shop_search_field_weight";"Wird ausschließlich zur Anzeige verwendet.";"Used for display purposes only."
"icon";"module_text";"Wird ausschließlich in der Ansicht ""box"" angezeigt.";"Displayed exclusively in the ""box"" view."
"name";"shop_module_article_list_article";"Wird ausschließlich in bestimmten Ansichten verwendet.";"Used exclusively in certain views."
"nonewsignup_title";"pkg_newsletter_module_signup_config";"Wird angezeigt, wenn ein Benutzer bereits alle verfügbaren Newsletter abonniert hat und daher kein weiteres Abonnement möglich ist.";"Displayed when a user has already subscribed to all available newsletters and therefore no further subscription is possible."
"nonewsignup_text";"pkg_newsletter_module_signup_config";"Wird angezeigt, wenn ein angemeldeter Benutzer bereits alle verfügbaren Newsletter abonniert hat.";"Displayed when a logged-in user has already subscribed to all available newsletters."
"external_url";"pkg_image_hotspot_item_spot";"Wird als Ziel-URL verwendet, sofern kein CMS-Objekt ausgewählt ist.";"Is used as the target URL if no CMS object is selected."
"cms_media_default_preview_image_id";"shop_article";"Wird als Vorschaubild angezeigt, wenn im Bereich ""Artikelvorschaubild"" kein Bild für einen bestimmten Vorschautyp (z. B. Bildgröße oder -format) festgelegt wurde. Falls hier kein Bild ausgewählt ist, wird automatisch das erste Bild aus den Artikelbildern verwendet.";"Is displayed as a preview image if no image has been set for a specific preview type (e.g., image size or format) in the ""Article Preview Image"" section. If no image is selected here, the first image from the article images will automatically be used."
"shop_article_group_mlt";"shop_payment_method";"Werden hier Warengruppen angegeben, ist die Bezahlmethode nur für Warenkörbe verfügbar, in denen sich alle Artikel jeweils in mindestens einer der ausgewählten Warengruppen befinden.";"If product groups are specified here, the payment method is only available for shopping carts in which all items belong to at least one of the selected product groups."
"shop_mlt";"shop_article";"Werden hier Shops ausgewählt, ist der Artikel ausschließlich in den gewählten Shops verfügbar. Andernfalls steht der Artikel in allen Shops zur Verfügung.";"If shops are selected here, the item will only be available in the chosen shops. Otherwise, the item will be available in all shops."
"shop_category_mlt";"shop_payment_method";"Werden hier Produktkategorien ausgewählt, steht die Bezahlmethode nur für Warenkörbe zur Verfügung, in denen sich alle Artikel in mindestens einer der gewählten Kategorien befinden.";"If product categories are selected here, the payment method is only available for shopping carts in which all items belong to at least one of the selected categories."
"shop_article_mlt";"shop_payment_method";"Werden hier Artikel hinterlegt, dann ist die Bezahlmethode nur für Warenkörbe verfügbar, in denen ausschließlich die ausgewählten Artikel enthalten sind.";"If items are stored here, the payment method is only available for shopping carts that contain exclusively the selected items."
"shop_article_mlt";"shop_shipping_type";"Werden an dieser Stelle Artikel ausgewählt, gilt die Versandkostenart ausschließlich für diese Artikel.";"If articles are selected at this point, the shipping cost type applies exclusively to these articles."
"shop_search_soundex_penalty";"shop";"Wenn Suchbegriffe gefunden werden, die dem eingegebenen Suchwort nur ähnlich klingen, wird deren Bedeutung durch den Suchklangabzug verringert. Die Gewichtung dieser ähnlich klingenden Worte wird mit dem angegebenen Wert multipliziert und damit entsprechend reduziert.";"If search terms are found that only sound similar to the entered search word, their significance is reduced by the phonetic deduction. The weighting of these similarly sounding words is multiplied by the specified value and thus correspondingly reduced."
"auto_limit_results";"cms_tbl_conf";"Wenn Sie mit sehr großen Tabellen arbeiten, kann es sinnvoll sein, ein Ergebnislimit einzutragen. Dadurch werden Sortieroperationen häufig erheblich beschleunigt.

Geben Sie -1 ein, um das Limit zu deaktivieren.

Das hier gesetzte Limit gilt als Standardeinstellung und kann jederzeit durch die Klasse selbst überschrieben werden.";"If you are working with very large tables, it may be sensible to set a result limit. This often significantly speeds up sorting operations.

Enter -1 to disable the limit.

The limit set here is considered the default setting and can be overridden by the class itself at any time."
"cms_portal_id";"cms_tpl_page";"Wenn Sie mehrere Portale, etwa verschiedene Sprachversionen, verwalten, können Sie hier auswählen, zu welchem Portal diese Seite gehört.";"If you manage multiple portals, such as different language versions, you can select here which portal this page belongs to."
"shop_category_mlt";"shop_shipping_type";"Wenn Sie hier Produktkategorien hinterlegen, gilt die Versandkostenart nur für Produkte, die in mindestens einer der ausgewählten Kategorien enthalten sind.

Bitte beachten Sie:
- Die als Hauptkategorie zugewiesene Kategorie eines Artikels bleibt unberücksichtigt. Nur die weiteren, einem Produkt zugeordneten Kategorien werden für die Einschränkung herangezogen.";"If you store product categories here, the shipping cost type will only apply to products that are included in at least one of the selected categories.

Please note:
- The category assigned as the main category of an item is disregarded. Only the additional categories assigned to a product are used for the restriction."
"data_extranet_group_mlt";"shop_shipping_type";"Wenn Sie hier bestimmte Kundengruppen auswählen, wird diese Versandkostenart ausschließlich auf Kunden angewendet, die mindestens einer der ausgewählten Gruppen zugeordnet sind.";"If you select specific customer groups here, this shipping method will only be applied to customers who belong to at least one of the selected groups."
"shop_article_group1_mlt";"shop_payment_method";"Wenn sich ein Produkt aus einer der angegebenen Warengruppen im Warenkorb befindet, wird diese Zahlungsmethode deaktiviert.";"If a product from one of the specified product groups is in the shopping cart, this payment method will be deactivated."
"apply_to_all_products";"shop_shipping_type";"Wenn mindestens ein Produkt im Warenkorb die ausgewählte Versandkostenart erfüllt, gilt diese Versandkostenart für alle Produkte im Warenkorb. So können die Versandkosten für den gesamten Warenkorb auf Grundlage eines einzelnen Artikels festgelegt werden, beispielsweise um kostenlosen Versand zu gewähren, wenn ein bestimmtes Produkt oder eine bestimmte Produktgruppe enthalten ist.";"If at least one product in the cart meets the selected shipping method criteria, this shipping method applies to all products in the cart. This allows the shipping costs for the entire cart to be determined based on a single item, for example, to offer free shipping when a specific product or product group is included."
"shop_vat_id";"shop_shipping_group";"Wenn keine Umsatzsteuergruppe ausgewählt wird, verwendet das System standardmäßig die in der Shop-Konfiguration hinterlegte Gruppe.";"If no VAT group is selected, the system will use the group stored in the shop configuration by default."
"cms_language_id";"shop_search_ignore_word";"Wenn keine Sprache angegeben ist, gilt das Wort für alle Sprachen.";"If no language is specified, the word applies to all languages."
"data_extranet_group_mlt";"cms_tpl_page";"Wenn keine Gruppen ausgewählt werden, haben alle angemeldeten Benutzer Zugriff auf die Seite.";"If no groups are selected, all registered users will have access to the page."
"cms_tbl_list_class_id";"cms_tbl_conf";"Wenn kein Wert angegeben wird, kommt standardmäßig die Klasse TCMSListManagerFullGroupTable zum Einsatz.";"If no value is specified, the TCMSListManagerFullGroupTable class is used by default."
"manage_reviews";"pkg_shop_article_review_module_shop_article_review_configuration";"Wenn Ja gewählt wird, erscheinen verfasste Rezensionen oder Bewertungen nicht sofort, sondern müssen zunächst im CMS zur Veröffentlichung freigegeben werden.

Wird Nein ausgewählt, werden Rezensionen und Bewertungen direkt nach dem Absenden veröffentlicht.";"If Yes is selected, written reviews or ratings do not appear immediately but must first be approved for publication in the CMS.

If No is selected, reviews and ratings are published immediately after submission."
"shop_article_group_mlt";"shop_shipping_type";"Wenn hier Warengruppen hinterlegt werden, gilt die Versandkostenart ausschließlich für Produkte, die mindestens einer der angegebenen Warengruppen zugeordnet sind.";"If product groups are specified here, the shipping cost type applies exclusively to products that belong to at least one of the specified product groups."
"is_searchable";"shop_article";"Wenn hier NEIN ausgewählt wird, erscheint der Artikel weder in den Suchergebnissen noch in den Kategorie- oder Artikellisten. Andernfalls verhält sich der Artikel wie gewohnt und ist überall auffindbar.";"If NO is selected here, the item will not appear in search results or in category or item lists. Otherwise, the item behaves as usual and can be found everywhere."
"redirect_to_not_found_page_product_search_on_no_results";"shop";"Wenn hier Ja gewählt wird, wird der Benutzer, falls bei der Produktsuche keine Ergebnisse gefunden werden, automatisch auf die Systemseite „Keine Ergebnisse gefunden für Produktsuche“ weitergeleitet.";"If Yes is selected here, the user will automatically be redirected to the system page ""No results found for product search"" if no results are found during the product search."
"cms_portal_mlt";"cms_tpl_module";"Wenn hier ein Portal ausgewählt ist, erscheint das Modul ausschließlich zur Auswahl in diesen Portalen. Wird kein Portal ausgewählt, steht das Modul in allen Portalen zur Verfügung.";"If a portal is selected here, the module will only be available for selection in these portals. If no portal is selected, the module will be available in all portals."
"shop_order_shipping_group_parameter";"shop_order";"Wenn für die Versandkostengruppe weitere Angaben durch den Benutzer erforderlich sind, werden diese Informationen an dieser Stelle gespeichert.";"If additional information is required from the user for the shipping cost group, this information will be stored here."
"shop_vat_id";"shop_voucher_series";"Wenn für die Serie keine Umsatzsteuergruppe ausgewählt wird, gilt automatisch die in den Shopeinstellungen festgelegte Standardgruppe.";"If no VAT group is selected for the series, the standard group defined in the shop settings will automatically apply."
"shop_bundle_article";"shop_article";"Wenn es sich um ein Bundle handelt, können hier die zugehörigen Produkte ausgewählt werden.

Im Warenkorb sowie bei allen Berechnungen wird das Bundle immer als ein einzelnes Produkt behandelt. Produkte, die dem Bundle zugewiesen sind, werden bei der Berechnung ignoriert. Dies bedeutet:

- Rabatte gelten ausschließlich für das Bundle-Produkt, nicht für die enthaltenen Einzelprodukte.
- Gutscheine, Zahlarten, Versandkosten und Mehrwertsteuer werden ebenfalls nur auf das Bundle-Produkt angewendet.

Enthaltene Einzelprodukte erhalten im Warenkorb keine eigene Berücksichtigung.";"If this is a bundle, the associated products can be selected here.

In the shopping cart and in all calculations, the bundle is always treated as a single product. Products assigned to the bundle are ignored in the calculation. This means:

- Discounts apply exclusively to the bundle product, not to the individual products it contains.
- Vouchers, payment methods, shipping costs, and VAT are also only applied to the bundle product.

The individual products included in the bundle are not considered separately in the shopping cart."
"shop_article1_mlt";"shop_payment_method";"Wenn eines der hier eingetragenen Produkte im Warenkorb enthalten ist, steht diese Zahlungsmethode nicht zur Auswahl.";"If any of the products entered here are in the shopping cart, this payment method will not be available."
"virtual_item_class_list_name";"cms_tbl_extension";"Wenn eine Klasse nicht direkt von TAdb erben soll, sondern dynamisch von TAdb oder von einer hier eingetragenen Erweiterung abgeleitet werden soll, empfiehlt es sich, die Klasse von MyClassNameAutoParent abzuleiten.

Das System erstellt die Klasse MyClassNameAutoParent automatisch. Diese wird so aufgebaut, dass sie je nach Konfiguration entweder von TAdb oder von der jeweils nächsten eingetragenen Erweiterung erbt. Dadurch ist es möglich, für eine Klasse mehrere Erweiterungen bereitzustellen.

**Beispiel:**
- Soll A und B jeweils die Klasse TAdbTest erweitern, wäre eine Möglichkeit, A von B abzuleiten und B von TAdbTest.
- Möchte man jedoch, dass A, B oder beide Erweiterungen getrennt oder gemeinsam aktiviert werden können, muss die Vererbung dynamisch gesteuert werden.

In diesem Fall leitet man A von AAutoParent und B von BAutoParent ab. Wurde A zuerst in den Erweiterungen registriert, erstellt das System die Klassenstruktur so:

A → AAutoParent → B → BAutoParent → TAdbTest

Wird nur A eingetragen, ergibt sich die Kette:

A → AAutoParent → TAdbTest

Sollte A selbst eine Erweiterung einer weiteren Klasse (z.B. C) sein, muss „AAutoParent“ hinterlegt werden, damit das System erkennt, welche Klasse es erzeugen soll.

Diese Mechanik gilt auch für Listen (siehe unten).";"If a class should not inherit directly from TAdb, but should be derived dynamically from TAdb or from an extension registered here, it is recommended to derive the class from MyClassNameAutoParent.

The system automatically creates the MyClassNameAutoParent class. This class is constructed in such a way that, depending on the configuration, it inherits either from TAdb or from the next registered extension. This makes it possible to provide multiple extensions for a single class.

**Example:**
- If A and B are both supposed to extend the class TAdbTest, one option would be to have A inherit from B and B from TAdbTest.
- However, if you want A, B, or both extensions to be activated individually or together, the inheritance must be managed dynamically.

In this case, A is derived from AAutoParent and B from BAutoParent. If A was registered first among the extensions, the system creates the following class structure:

A → AAutoParent → B → BAutoParent → TAdbTest

If only A is registered, the chain becomes:

A → AAutoParent → TAdbTest

If A itself is an extension of another class (e.g., C), “AAutoParent” must be specified so that the system recognizes which class to generate.

This mechanism also applies to lists (see below)."
"virtual_item_class_name";"cms_tbl_extension";"Wenn eine Klasse nicht direkt von TAdb erben soll, sondern dynamisch entweder von TAdb oder einer anderen hier angegebenen Erweiterung, sollte sie von MyClassNameAutoParent abgeleitet werden. Das System erstellt die Klasse MyClassNameAutoParent automatisch und sorgt dafür, dass sie entweder von TAdb oder von der als nächstes aufgeführten Erweiterung erbt – je nachdem, was erforderlich ist. Dadurch wird es möglich, mehr als eine Erweiterung für eine Klasse zu nutzen.

Beispiel:

Angenommen, A und B sollen beide TAdbTest erweitern. Eine einfache Lösung wäre, A von B und B von TAdbTest abzuleiten. Möchte man aber die Option haben, A, B oder beide Erweiterungen flexibel zu aktivieren, muss das System die Vererbung dynamisch verwalten. Dazu leitet man A von AAutoParent und B von BAutoParent ab. Wird A zuerst als Erweiterung eingetragen, erstellt das System die Klassen AAutoParent und BAutoParent mit folgender Vererbungskette:

A ⇒ AAutoParent ⇒ B ⇒ BAutoParent ⇒ TAdbTest

Wird nur A als Erweiterung angegeben, entsteht folgendes Vererbungsmodell:

A ⇒ AAutoParent ⇒ TAdbTest

Falls A wiederum selbst eine Erweiterung, z. B. von C, ist, muss ebenfalls „AAutoParent“ als Basis angegeben werden, damit das System weiß, welche Klasse erzeugt werden soll.

Das gleiche Prinzip gilt selbstverständlich auch für Listen (siehe unten).";"If a class should not inherit directly from TAdb, but instead dynamically from either TAdb or another specified extension, it should be derived from MyClassNameAutoParent. The system automatically creates the class MyClassNameAutoParent and ensures that it inherits either from TAdb or from the next listed extension, depending on what is required. This makes it possible to use more than one extension for a class.

Example:

Suppose A and B are both to extend TAdbTest. A simple solution would be to derive A from B and B from TAdbTest. However, if you want the option to activate A, B, or both extensions flexibly, the system must manage the inheritance dynamically. To do this, A is derived from AAutoParent and B from BAutoParent. If A is registered first as an extension, the system creates the classes AAutoParent and BAutoParent with the following inheritance chain:

A ⇒ AAutoParent ⇒ B ⇒ BAutoParent ⇒ TAdbTest

If only A is specified as an extension, the inheritance model is as follows:

A ⇒ AAutoParent ⇒ TAdbTest

If A itself is also an extension, for example of C, then ""AAutoParent"" must also be specified as the base so that the system knows which class to generate.

The same principle, of course, also applies to lists (see below)."
"reason";"pkg_newsletter_robinson";"Wenn eine E-Mail-Adresse aus einem bestimmten Grund auf die Blacklist gesetzt wurde, beispielsweise aufgrund eines dauerhaften Zustellfehlers (Hard Bounce), kann dieser Grund hier vermerkt werden.";"If an email address has been blacklisted for a specific reason, for example due to a permanent delivery failure (hard bounce), this reason can be noted here."
"shop_vat_id";"shop_category";"Wenn ein Produkt mehreren Kategorien zugeordnet ist, wird die höchste Umsatzsteuergruppe aus den zugewiesenen Kategorien verwendet.";"If a product is assigned to multiple categories, the highest tax group among the assigned categories will be used."
"alternative_tab_url_for_ajax";"pkg_multi_module_set_item";"Wenn ein Multimodul als Tab angezeigt und per Ajax nachgeladen wird, kann für die einzelnen Tabs eine alternative Verlinkung hinterlegt werden. Dies ist beispielsweise für Nutzer ohne JavaScript hilfreich, da sie dadurch trotzdem auf die Inhalte der Tabs zugreifen können.";"If a multi-module is displayed as a tab and loaded via Ajax, an alternative link can be provided for each individual tab. This is helpful, for example, for users without JavaScript, as it still allows them to access the content of the tabs."
"free_shipping";"shop_voucher_series";"Wenn ein Gutschein mit dieser Markierung eingelöst wird, entfallen die Versandkosten vollständig. Käuferinnen und Käufer zahlen dann keine Versandgebühren für ihre Bestellung.";"If a voucher with this marking is redeemed, the shipping costs will be completely waived. Buyers will then not have to pay any shipping fees for their order."
"cms_language_id";"shop_search_field_weight";"Wenn ein Feld keine spezifische Sprache zugeordnet bekommen soll, sollte die Auswahl einer Sprache vermieden werden.";"If a field is not supposed to be assigned a specific language, selecting a language should be avoided."
"locked";"cms_media";"Wenn dieses Feld aktiviert ist, wird das Bild bei Import- und Exportprozessen ignoriert, beispielsweise beim automatischen Generieren von ALT-Texten mittels OpenAI.";"If this field is enabled, the image will be ignored during import and export processes, for example when automatically generating ALT texts using OpenAI."
"seo_nofollow";"cms_tree";"Wenn dieser Wert auf ""Ja"" gesetzt ist (Standard: ""Nein""), erhalten Links zu dieser Seite das NoFollow-Attribut. Dadurch werden Suchmaschinen angewiesen, diesen Links nicht zu folgen und die Seiten nicht zu indizieren.";"If this value is set to ""Yes"" (default: ""No""), links to this page will receive the NoFollow attribute. This instructs search engines not to follow these links and not to index the pages."
"only_one_record_tbl";"cms_tbl_conf";"Wenn dieser Schalter aktiviert ist, wird die Listenansicht deaktiviert. Beim Klick auf den Menüpunkt öffnet sich direkt der Datensatz mit der ID 1 im Editor.";"If this switch is enabled, the list view will be disabled. When the menu item is clicked, the record with ID 1 opens directly in the editor."
